County,FIPS code,CBSA,State Abbreviation,FEMA region,Population,Cases as a percent of national total - last 7 days,ThisWeekTotal Per100k,LastWeekTotal Per100k,Test Positivity Rate- Last 7 Days,Previous Week Positivity Rate,,,,,,
"Bosque County, TX",,,,," 18,685 ",0.0%, 128 , 139 ,14.0%,12.7%,,,,,,
"Bossier Parish, LA",,,,," 127,039 ",0.0%, 370 , 557 ,8.7%,11.4%,,,,,,
"Botetourt County, VA",,,,," 33,419 ",0.0%, 245 , 254 ,4.4%,14.2%,,,,,,
"Bottineau County, ND",,,,," 6,282 ",0.0%, 716 , 828 ,17.9%,20.2%,,,,,,
"Boulder County, CO",,,,," 326,196 ",0.1%, 326 , 477 ,6.2%,8.0%,,,,,,
"Boundary County, ID",,,,," 12,245 ",0.0%, 196 , 253 ,14.4%,15.4%,,,,,,
"Bourbon County, KS",,,,," 14,534 ",0.0%, 550 , 502 ,21.0%,12.7%,,,,,,
"Bourbon County, KY",,,,," 19,788 ",0.0%, 232 , 283 ,9.4%,13.9%,,,,,,
"Bowie County, TX",,,,," 93,245 ",0.0%, 89 , 135 ,17.8%,22.2%,,,,,,
"Bowman County, ND",,,,," 3,024 ",0.0%, 298 , 430 ,3.3%,4.1%,,,,,,
"Box Butte County, NE",,,,," 10,783 ",0.0%," 1,029 ", 927 ,24.6%,22.6%,,,,,,
"Box Elder County, UT",,,,," 56,046 ",0.0%, 503 , 512 ,18.1%,18.4%,,,,,,
"Boyd County, KY",,,,," 46,718 ",0.0%, 544 , 310 ,17.9%,13.4%,,,,,,
"Boyd County, NE",,,,," 1,919 ",0.0%," 1,251 ", 990 ,46.5%,35.9%,,,,,,
"Boyle County, KY",,,,," 30,060 ",0.0%, 436 , 383 ,4.8%,10.0%,,,,,,
"Bracken County, KY",,,,," 8,303 ",0.0%, 301 , 277 ,18.8%,12.6%,,,,,,
"Bradford County, PA",,,,," 60,323 ",0.0%, 358 , 446 ,8.3%,12.2%,,,,,,
"Bradley County, AR",,,,," 10,763 ",0.0%, 576 , 195 ,20.7%,11.0%,,,,,,
"Bradley County, TN",,,,," 108,110 ",0.0%, 449 , 412 ,16.2%,18.9%,,,,,,
"Branch County, MI",,,,," 43,517 ",0.0%, 682 , 972 ,10.4%,18.6%,,,,,,
"Brantley County, GA",,,,," 19,109 ",0.0%, 126 , 58 ,14.6%,6.9%,,,,,,
"Brazoria County, TX",,,,," 374,264 ",0.0%, 115 , 106 ,8.8%,10.6%,,,,,,
"Brazos County, TX",,,,," 229,211 ",0.0%, 147 , 232 ,5.2%,11.2%,,,,,,
"Breathitt County, KY",,,,," 12,630 ",0.0%, 451 , 570 ,7.4%,7.6%,,,,,,
"Bremer County, IA",,,,," 25,062 ",0.0%, 858 ," 1,381 ",27.7%,34.2%,,,,,,
"Brewster County, TX",,,,," 9,203 ",0.0%," 2,151 "," 1,402 ",13.3%,47.3%,,,,,,
"Briscoe County, TX",,,,," 1,546 ",0.0%, 65 , 776 ,56.2%,40.0%,,,,,,
"Bristol City, VA",,,,," 16,762 ",0.0%, 340 , 304 ,11.0%,26.2%,,,,,,
"Bristol County, RI",,,,," 48,479 ",0.0%, 413 , 396 ,2.3%,2.7%,,,,,,
"Broadwater County, MT",,,,," 6,237 ",0.0%, 401 , 417 ,14.5%,16.3%,,,,,,
"Brooke County, WV",,,,," 21,939 ",0.0%, 556 , 469 ,11.6%,8.9%,,,,,,
"Brookings County, SD",,,,," 35,077 ",0.0%, 519 , 804 ,7.4%,19.8%,,,,,,
"Brooks County, GA",,,,," 15,457 ",0.0%, 162 , 52 ,20.3%,12.1%,,,,,,
"Brooks County, TX",,,,," 7,093 ",0.0%, 141 , 42 ,1.9%,20.0%,,,,,,
"Broomfield County, CO",,,,," 70,465 ",0.0%, 297 , 379 ,8.9%,9.8%,,,,,,
"Broward County, FL",,,,," 1,952,778 ",0.5%, 286 , 273 ,9.4%,10.3%,,,,,,
"Brown County, IL",,,,," 6,578 ",0.0%, 745 , 745 ,11.7%,18.5%,,,,,,
"Brown County, IN",,,,," 15,092 ",0.0%, 371 , 457 ,9.6%,8.9%,,,,,,
"Brown County, KS",,,,," 9,564 ",0.0%," 1,244 "," 1,642 ",39.6%,25.5%,,,,,,
"Brown County, MN",,,,," 25,008 ",0.0%," 1,180 "," 1,136 ",13.8%,15.0%,,,,,,
"Brown County, NE",,,,," 2,955 ",0.0%, 406 ," 1,151 ",20.8%,62.9%,,,,,,
"Brown County, OH",,,,," 43,432 ",0.0%, 490 , 382 ,15.7%,10.7%,,,,,,
"Brown County, SD",,,,," 38,839 ",0.0%, 966 , 986 ,20.4%,13.6%,,,,,,
"Brown County, TX",,,,," 37,864 ",0.0%, 298 , 621 ,9.3%,18.2%,,,,,,
"Brown County, WI",,,,," 264,542 ",0.1%, 561 , 568 ,11.4%,15.6%,,,,,,
"Brule County, SD",,,,," 5,297 ",0.0%, 868 ," 1,397 ",10.5%,27.1%,,,,,,
"Bryan County, OK",,,,," 47,995 ",0.0%, 481 , 694 ,18.3%,23.4%,,,,,,
"Buchanan County, IA",,,,," 21,175 ",0.0%, 524 , 968 ,17.1%,25.8%,,,,,,
"Buchanan County, MO",,,,," 87,364 ",0.0%, 474 , 426 ,25.7%,22.7%,,,,,,
"Buchanan County, VA",,,,," 21,004 ",0.0%, 252 , 229 ,13.2%,37.1%,,,,,,
"Bucks County, PA",,,,," 628,270 ",0.2%, 374 , 281 ,13.0%,11.5%,,,,,,
"Buena Vista City, VA",,,,," 6,478 ",0.0%, 679 , 726 ,7.8%,18.4%,,,,,,
"Buena Vista County, IA",,,,," 19,620 ",0.0%, 836 , 984 ,16.6%,24.0%,,,,,,
"Buffalo County, NE",,,,," 49,659 ",0.0%, 626 , 842 ,27.6%,26.4%,,,,,,
"Buffalo County, SD",,,,," 1,962 ",0.0%, 866 ," 1,274 ",0.0%,50.0%,,,,,,
"Buffalo County, WI",,,,," 13,031 ",0.0%, 660 ," 1,044 ",12.1%,18.9%,,,,,,
"Bullitt County, KY",,,,," 81,676 ",0.0%, 361 , 402 ,14.4%,22.1%,,,,,,
"Bulloch County, GA",,,,," 79,608 ",0.0%, 59 , 62 ,4.1%,11.2%,,,,,,
"Bullock County, AL",,,,," 10,101 ",0.0%, 99 , 50 ,11.5%,11.6%,,,,,,
"Bureau County, IL",,,,," 32,628 ",0.0%, 585 ," 1,067 ",22.7%,20.3%,,,,,,
"Burke County, GA",,,,," 22,383 ",0.0%, 85 , 165 ,18.2%,27.5%,,,,,,
"Burke County, NC",,,,," 90,485 ",0.0%, 445 , 272 ,7.8%,5.3%,,,,,,
"Burke County, ND",,,,," 2,115 ",0.0%, 615 ," 1,608 ",28.6%,20.7%,,,,,,
"Burleigh County, ND",,,,," 95,626 ",0.1%, 952 ," 1,307 ",10.8%,8.5%,,,,,,
"Burleson County, TX",,,,," 18,443 ",0.0%, 157 , 423 ,9.9%,17.2%,,,,,,
"Burlington County, NJ",,,,," 445,349 ",0.1%, 356 , 290 ,10.5%,9.0%,,,,,,
"Burnet County, TX",,,,," 48,155 ",0.0%, 160 , 231 ,13.8%,16.7%,,,,,,
"Burnett County, WI",,,,," 15,414 ",0.0%, 759 ," 1,083 ",14.1%,18.0%,,,,,,
"Burt County, NE",,,,," 6,459 ",0.0%, 790 ," 1,146 ",31.2%,30.3%,,,,,,
"Butler County, IA",,,,," 14,439 ",0.0%, 803 ," 1,080 ",22.0%,27.1%,,,,,,
"Butler County, KS",,,,," 66,911 ",0.1%, 843 , 771 ,30.6%,34.1%,,,,,,
"Butler County, KY",,,,," 12,879 ",0.0%, 559 , 155 ,1.7%,12.1%,,,,,,
"Butler County, MO",,,,," 42,478 ",0.0%, 426 , 490 ,19.8%,20.4%,,,,,,
"Butler County, NE",,,,," 8,016 ",0.0%, 873 , 823 ,47.6%,35.6%,,,,,,
"Butler County, OH",,,,," 383,134 ",0.2%, 550 , 463 ,13.5%,20.3%,,,,,,
"Butler County, PA",,,,," 187,853 ",0.1%, 436 , 347 ,10.0%,9.8%,,,,,,
"Butte County, SD",,,,," 10,429 ",0.0%, 594 , 940 ,16.6%,27.9%,,,,,,
"Butts County, GA",,,,," 24,936 ",0.0%, 120 , 160 ,11.9%,16.2%,,,,,,
"Cabarrus County, NC",,,,," 216,453 ",0.1%, 278 , 217 ,10.3%,10.3%,,,,,,
"Cabell County, WV",,,,," 91,945 ",0.0%, 349 , 430 ,6.1%,6.3%,,,,,,
"Cache County, UT",,,,," 128,289 ",0.1%, 599 , 783 ,16.2%,21.1%,,,,,,
"Caddo County, OK",,,,," 28,762 ",0.0%, 907 , 668 ,26.8%,19.9%,,,,,,
"Caguas, PR",,,,," 142,893 ",0.0%, 179 , 168 ,4.8%,16.1%,,,,,,
"Calcasieu Parish, LA",,,,," 203,436 ",0.0%, 231 , 495 ,14.7%,12.6%,,,,,,
"Caldwell County, KY",,,,," 12,747 ",0.0%, 565 , 479 ,7.8%,5.0%,,,,,,
"Caldwell County, MO",,,,," 9,020 ",0.0%, 477 , 809 ,19.1%,36.6%,,,,,,
"Caldwell County, TX",,,,," 43,664 ",0.0%, 121 , 55 ,11.8%,10.8%,,,,,,
"Caldwell Parish, LA",,,,," 9,918 ",0.0%, 434 ," 1,210 ",23.5%,21.3%,,,,,,
"Calhoun County, AL",,,,," 113,605 ",0.0%, 252 , 232 ,18.6%,18.0%,,,,,,
"Calhoun County, AR",,,,," 5,189 ",0.0%, 385 , 424 ,17.7%,13.7%,,,,,,
"Calhoun County, GA",,,,," 6,189 ",0.0%, 48 , 16 ,12.1%,3.7%,,,,,,
"Calhoun County, IA",,,,," 9,668 ",0.0%, 921 ," 1,820 ",16.1%,36.2%,,,,,,
"Calhoun County, IL",,,,," 4,739 ",0.0%, 485 ," 1,118 ",0.6%,6.3%,,,,,,
"Calhoun County, MI",,,,," 134,159 ",0.1%, 451 , 527 ,12.3%,13.1%,,,,,,
"Calhoun County, MS",,,,," 14,361 ",0.0%, 313 , 174 ,19.2%,8.3%,,,,,,
"Calhoun County, SC",,,,," 14,553 ",0.0%, 62 , 89 ,11.4%,12.0%,,,,,,
"Callahan County, TX",,,,," 13,943 ",0.0%, 151 , 72 ,10.9%,26.8%,,,,,,
"Callaway County, MO",,,,," 44,743 ",0.0%, 601 , 872 ,16.1%,28.0%,,,,,,
"Calloway County, KY",,,,," 39,001 ",0.0%, 510 , 495 ,10.3%,22.4%,,,,,,
"Calumet County, WI",,,,," 50,089 ",0.0%, 483 , 811 ,13.6%,18.4%,,,,,,
"Camas County, ID",,,,," 1,106 ",0.0%, -   , -   ,7.1%,14.3%,,,,,,
"Cambria County, PA",,,,," 130,192 ",0.1%, 986 , 576 ,17.8%,12.4%,,,,,,
"Camden County, MO",,,,," 46,305 ",0.0%, 300 , 443 ,15.7%,19.6%,,,,,,
"Camden County, NC",,,,," 10,867 ",0.0%, 101 , 101 ,11.5%,8.8%,,,,,,
"Camden County, NJ",,,,," 506,471 ",0.2%, 386 , 371 ,12.0%,10.7%,,,,,,
"Cameron County, TX",,,,," 423,163 ",0.0%, 82 , 97 ,11.4%,13.1%,,,,,,
"Cameron Parish, LA",,,,," 6,973 ",0.0%, 229 , 172 ,20.0%,10.7%,,,,,,
"Camp County, TX",,,,," 13,094 ",0.0%, 61 , 84 ,16.7%,12.9%,,,,,,
"Campbell County, KY",,,,," 93,584 ",0.0%, 343 , 373 ,11.4%,15.4%,,,,,,
"Campbell County, SD",,,,," 1,376 ",0.0%, 436 , 581 ,28.6%,35.3%,,,,,,
"Campbell County, TN",,,,," 39,842 ",0.0%, 304 , 284 ,3.0%,14.0%,,,,,,
"Campbell County, VA",,,,," 54,885 ",0.0%, 270 , 151 ,11.6%,14.3%,,,,,,
"Campbell County, WY",,,,," 46,341 ",0.0%, 997 ," 1,323 ",43.6%,40.7%,,,,,,
"Camuy, PR",,,,," 35,159 ",0.0%, 310 , 171 ,19.4%,16.8%,,,,,,
"Canadian County, OK",,,,," 148,306 ",0.1%, 545 , 565 ,17.4%,18.5%,,,,,,
"Cannon County, TN",,,,," 14,678 ",0.0%, 600 , 593 ,23.6%,16.0%,,,,,,
"Canovanas, PR",,,,," 47,648 ",0.0%, 141 , 92 ,16.1%,0.0%,,,,,,
"Canyon County, ID",,,,," 229,849 ",0.1%, 655 , 527 ,24.4%,27.1%,,,,,,
"Cape Girardeau County, MO",,,,," 78,871 ",0.0%, 610 , 794 ,30.1%,29.0%,,,,,,
"Carbon County, MT",,,,," 10,725 ",0.0%, 364 , 895 ,25.2%,39.3%,,,,,,
"Carbon County, PA",,,,," 64,182 ",0.0%, 422 , 274 ,11.6%,12.3%,,,,,,
"Carbon County, UT",,,,," 20,463 ",0.0%, 523 , 723 ,21.7%,15.8%,,,,,,
"Carbon County, WY",,,,," 14,800 ",0.0%, 743 , 709 ,12.7%,18.4%,,,,,,
"Caribou County, ID",,,,," 7,155 ",0.0%, 377 , 377 ,17.2%,25.5%,,,,,,
"Carlisle County, KY",,,,," 4,760 ",0.0%, 462 , 609 ,22.2%,19.5%,,,,,,
"Carlton County, MN",,,,," 35,871 ",0.0%," 1,031 ", 873 ,8.0%,9.6%,,,,,,
"Carroll County, AR",,,,," 28,380 ",0.0%, 447 , 271 ,17.3%,11.8%,,,,,,
"Carroll County, GA",,,,," 119,992 ",0.0%, 145 , 136 ,18.3%,12.5%,,,,,,
"Carroll County, IA",,,,," 20,165 ",0.0%, 555 ," 1,022 ",17.5%,25.0%,,,,,,
"Carroll County, IL",,,,," 14,305 ",0.0%, 678 ," 1,000 ",15.0%,24.7%,,,,,,
"Carroll County, IN",,,,," 20,257 ",0.0%, 454 , 425 ,16.7%,18.5%,,,,,,
"Carroll County, KY",,,,," 10,631 ",0.0%, 423 , 245 ,16.1%,12.2%,,,,,,
"Carroll County, MO",,,,," 8,679 ",0.0%, 588 , 611 ,29.3%,32.3%,,,,,,
"Carroll County, MS",,,,," 9,947 ",0.0%, 261 , 573 ,24.6%,24.1%,,,,,,
"Carroll County, OH",,,,," 26,914 ",0.0%, 535 , 238 ,25.2%,10.8%,,,,,,
"Carroll County, TN",,,,," 27,767 ",0.0%, 565 , 612 ,26.7%,25.5%,,,,,,
"Carroll County, VA",,,,," 29,791 ",0.0%, 383 , 222 ,11.6%,27.0%,,,,,,
"Carson City, NV",,,,," 55,916 ",0.1%," 1,214 ", 848 ,17.9%,23.8%,,,,,,
"Carson County, TX",,,,," 5,926 ",0.0%, 186 , 186 ,41.2%,31.1%,,,,,,
"Carter County, KY",,,,," 26,797 ",0.0%, 481 , 347 ,17.9%,6.3%,,,,,,
"Carter County, MO",,,,," 5,982 ",0.0%, 351 , 518 ,12.5%,21.9%,,,,,,
"Carter County, MT",,,,," 1,252 ",0.0%, 319 ," 1,038 ",31.2%,55.6%,,,,,,
"Carter County, OK",,,,," 48,111 ",0.0%, 619 , 382 ,15.0%,10.6%,,,,,,
"Carter County, TN",,,,," 56,391 ",0.0%, 443 , 507 ,22.9%,18.1%,,,,,,
"Carver County, MN",,,,," 105,089 ",0.1%, 715 , 861 ,12.9%,17.5%,,,,,,
"Cascade County, MT",,,,," 81,366 ",0.0%, 574 ," 1,593 ",15.3%,34.2%,,,,,,
"Casey County, KY",,,,," 16,159 ",0.0%, 291 , 452 ,6.2%,5.3%,,,,,,
"Cass County, IA",,,,," 12,836 ",0.0%, 678 , 491 ,20.1%,19.1%,,,,,,
"Cass County, IL",,,,," 12,147 ",0.0%, 733 ," 1,103 ",10.9%,12.9%,,,,,,
"Cass County, IN",,,,," 37,689 ",0.0%, 462 , 491 ,13.2%,14.3%,,,,,,
"Cass County, MI",,,,," 51,787 ",0.0%, 473 , 579 ,19.1%,17.4%,,,,,,
"Cass County, MN",,,,," 29,779 ",0.0%, 903 , 876 ,21.6%,22.4%,,,,,,
"Cass County, MO",,,,," 105,780 ",0.0%, 362 , 470 ,17.7%,22.6%,,,,,,
"Cass County, ND",,,,," 181,923 ",0.1%, 804 , 999 ,10.2%,12.2%,,,,,,
"Cass County, NE",,,,," 26,248 ",0.0%, 491 , 690 ,15.7%,19.0%,,,,,,
"Cass County, TX",,,,," 30,026 ",0.0%, 93 , 183 ,11.0%,14.7%,,,,,,
"Cassia County, ID",,,,," 24,030 ",0.0%, 658 , 795 ,29.0%,33.8%,,,,,,
"Castro County, TX",,,,," 7,530 ",0.0%, 359 , 465 ,38.3%,13.3%,,,,,,
"Caswell County, NC",,,,," 22,604 ",0.0%, 274 , 208 ,10.4%,7.8%,,,,,,
"Catahoula Parish, LA",,,,," 9,494 ",0.0%, 453 , 695 ,12.7%,3.0%,,,,,,
"Catano, PR",,,,," 28,140 ",0.0%, 156 , 153 ,13.6%,0.0%,,,,,,
"Catawba County, NC",,,,," 159,551 ",0.1%, 392 , 350 ,10.7%,11.4%,,,,,,
"Catoosa County, GA",,,,," 67,580 ",0.0%, 240 , 226 ,17.0%,10.0%,,,,,,
"Catron County, NM",,,,," 3,527 ",0.0%, 85 , 284 ,9.1%,34.8%,,,,,,
"Cavalier County, ND",,,,," 3,762 ",0.0%," 1,116 "," 1,090 ",15.5%,19.7%,,,,,,
"Cayey, PR",,,,," 48,119 ",0.0%, 197 , 100 ,10.0%,18.2%,,,,,,
"Cedar County, IA",,,,," 18,627 ",0.0%, 585 , 843 ,21.8%,21.3%,,,,,,
"Cedar County, MO",,,,," 14,349 ",0.0%, 153 , 495 ,4.0%,16.8%,,,,,,
"Cedar County, NE",,,,," 8,402 ",0.0%, 786 , 690 ,32.8%,35.2%,,,,,,
"Ceiba, PR",,,,," 13,631 ",0.0%, 73 , 44 ,0.0%,11.8%,,,,,,
"Centre County, PA",,,,," 162,385 ",0.1%, 440 , 345 ,5.8%,7.0%,,,,,,
"Cerro Gordo County, IA",,,,," 42,450 ",0.0%, 777 ," 1,472 ",11.2%,19.0%,,,,,,
"Chambers County, AL",,,,," 33,254 ",0.0%, 171 , 253 ,26.2%,11.5%,,,,,,
"Champaign County, IL",,,,," 209,689 ",0.1%, 340 , 485 ,2.0%,1.9%,,,,,,
"Champaign County, OH",,,,," 38,885 ",0.0%, 501 , 427 ,19.2%,21.0%,,,,,,
"Chariton County, MO",,,,," 7,426 ",0.0%, 283 , 768 ,17.6%,25.6%,,,,,,
"Charles City County, VA",,,,," 6,963 ",0.0%, 101 , 172 ,2.2%,10.1%,,,,,,
"Charles Mix County, SD",,,,," 9,292 ",0.0%," 1,141 "," 1,195 ",34.1%,28.8%,,,,,,
"Charlevoix County, MI",,,,," 26,143 ",0.0%, 425 , 325 ,8.6%,8.1%,,,,,,
"Charlotte County, VA",,,,," 11,880 ",0.0%, 126 , 109 ,8.5%,11.3%,,,,,,
"Charlton County, GA",,,,," 13,392 ",0.0%, 97 , 97 ,3.0%,10.7%,,,,,,
"Chase County, KS",,,,," 2,648 ",0.0%, 566 , 642 ,20.0%,11.1%,,,,,,
"Chase County, NE",,,,," 3,924 ",0.0%, 561 , 612 ,25.6%,44.7%,,,,,,
"Chattahoochee County, GA",,,,," 10,907 ",0.0%, 413 , 477 ,0.0%,3.6%,,,,,,
"Chattooga County, GA",,,,," 24,789 ",0.0%, 149 , 141 ,15.9%,8.2%,,,,,,
"Chautauqua County, KS",,,,," 3,250 ",0.0%, 554 , 523 ,8.3%,28.6%,,,,,,
"Chaves County, NM",,,,," 64,615 ",0.1%," 1,062 "," 1,031 ",15.9%,22.7%,,,,,,
"Cheatham County, TN",,,,," 40,667 ",0.0%, 334 , 305 ,14.3%,8.9%,,,,,,
"Cheboygan County, MI",,,,," 25,276 ",0.0%, 360 , 313 ,11.9%,8.5%,,,,,,
"Chelan County, WA",,,,," 77,200 ",0.0%, 179 , 118 ,13.8%,12.9%,,,,,,
"Chemung County, NY",,,,," 83,456 ",0.0%, 506 , 289 ,9.2%,6.3%,,,,,,
"Cherokee County, AL",,,,," 26,196 ",0.0%, 99 , 153 ,7.0%,13.3%,,,,,,
"Cherokee County, GA",,,,," 258,773 ",0.0%, 187 , 210 ,11.4%,9.2%,,,,,,
"Cherokee County, IA",,,,," 11,235 ",0.0%, 917 , 917 ,29.8%,28.7%,,,,,,
"Cherokee County, KS",,,,," 19,939 ",0.0%, 411 , 702 ,24.5%,20.9%,,,,,,
"Cherokee County, NC",,,,," 28,612 ",0.0%, 115 , 129 ,8.7%,10.8%,,,,,,
"Cherokee County, OK",,,,," 48,657 ",0.0%, 543 , 471 ,16.1%,16.0%,,,,,,
"Cherokee County, SC",,,,," 57,300 ",0.0%, 213 , 318 ,13.5%,16.7%,,,,,,
"Cherokee County, TX",,,,," 52,646 ",0.0%, 49 , 2 ,10.1%,7.6%,,,,,,
"Cherry County, NE",,,,," 5,689 ",0.0%, 439 , 703 ,20.7%,23.8%,,,,,,
"Chesapeake City, VA",,,,," 244,835 ",0.1%, 273 , 132 ,4.2%,12.8%,,,,,,
"Chester County, SC",,,,," 32,244 ",0.0%, 239 , 205 ,12.0%,13.0%,,,,,,
"Chester County, TN",,,,," 17,297 ",0.0%, 324 , 567 ,9.9%,17.2%,,,,,,
"Cheyenne County, CO",,,,," 1,831 ",0.0%, 492 , 928 ,5.7%,16.7%,,,,,,
"Cheyenne County, KS",,,,," 2,657 ",0.0%, 301 , 790 ,0.0%,66.7%,,,,,,
"Cheyenne County, NE",,,,," 8,910 ",0.0%," 1,257 "," 1,605 ",35.2%,47.9%,,,,,,
"Chickasaw County, IA",,,,," 11,933 ",0.0%, 696 ," 1,265 ",18.0%,23.3%,,,,,,
"Chicot County, AR",,,,," 10,118 ",0.0%, 553 , 385 ,11.2%,11.0%,,,,,,
"Childress County, TX",,,,," 7,306 ",0.0%, 246 , 274 ,42.2%,34.0%,,,,,,
"Chilton County, AL",,,,," 44,428 ",0.0%, 146 , 128 ,14.8%,11.3%,,,,,,
"Chippewa County, MI",,,,," 37,349 ",0.0%, 498 , 527 ,22.5%,3.8%,,,,,,
"Chippewa County, MN",,,,," 11,800 ",0.0%," 1,110 ", 771 ,14.3%,10.2%,,,,,,
"Chippewa County, WI",,,,," 64,658 ",0.0%, 568 ," 1,098 ",13.8%,18.0%,,,,,,
"Chisago County, MN",,,,," 56,579 ",0.0%, 608 ," 1,000 ",9.3%,17.5%,,,,,,
"Choctaw County, MS",,,,," 8,210 ",0.0%, 390 , 451 ,26.8%,11.1%,,,,,,
"Choctaw County, OK",,,,," 14,672 ",0.0%, 511 , 463 ,22.4%,22.1%,,,,,,
"Chouteau County, MT",,,,," 5,635 ",0.0%, 657 , 941 ,25.8%,56.5%,,,,,,
"Christian County, IL",,,,," 32,304 ",0.0%, 505 , 861 ,14.0%,23.1%,,,,,,
"Christian County, KY",,,,," 70,461 ",0.0%, 326 , 426 ,9.9%,9.8%,,,,,,
"Christian County, MO",,,,," 88,595 ",0.0%, 298 , 415 ,16.0%,26.0%,,,,,,
"Churchill County, NV",,,,," 24,909 ",0.0%, 646 , 566 ,18.4%,18.1%,,,,,,
"Ciales, PR",,,,," 18,782 ",0.0%, 261 , 197 ,14.3%,5.9%,,,,,,
"Cibola County, NM",,,,," 26,675 ",0.0%," 1,117 ", 896 ,13.9%,16.3%,,,,,,
"Cidra, PR",,,,," 43,480 ",0.0%, 92 , 85 ,0.0%,20.6%,,,,,,
"Cimarron County, OK",,,,," 2,137 ",0.0%, 655 , 562 ,26.3%,38.6%,,,,,,
"Citrus County, FL",,,,," 149,657 ",0.0%, 290 , 261 ,10.1%,13.4%,,,,,,
"Clackamas County, OR",,,,," 418,187 ",0.1%, 210 , 157 ,11.1%,9.7%,,,,,,
"Claiborne County, MS",,,,," 8,988 ",0.0%, 134 , 145 ,6.4%,16.7%,,,,,,
"Claiborne County, TN",,,,," 31,959 ",0.0%, 319 , 266 ,12.2%,8.9%,,,,,,
"Claiborne Parish, LA",,,,," 15,670 ",0.0%, 140 , 415 ,4.8%,11.7%,,,,,,
"Clare County, MI",,,,," 30,950 ",0.0%, 391 , 397 ,9.5%,9.2%,,,,,,
"Clarendon County, SC",,,,," 33,745 ",0.0%, 187 , 83 ,10.8%,3.4%,,,,,,
"Clarion County, PA",,,,," 38,438 ",0.0%, 663 , 479 ,13.6%,13.8%,,,,,,
"Clark County, AR",,,,," 22,320 ",0.0%, 282 , 296 ,11.0%,7.8%,,,,,,
"Clark County, ID",,,,, 845 ,0.0%, -   , 355 ,0.0%,100.0%,,,,,,
"Clark County, IL",,,,," 15,441 ",0.0%, 615 , 751 ,8.3%,12.4%,,,,,,
"Clark County, IN",,,,," 118,302 ",0.1%, 481 , 504 ,12.3%,14.0%,,,,,,
"Clark County, KS",,,,," 1,994 ",0.0%," 1,505 ", 552 ,17.9%,30.0%,,,,,,
"Clark County, KY",,,,," 36,263 ",0.0%, 287 , 154 ,10.2%,3.9%,,,,,,
"Clark County, MO",,,,," 6,797 ",0.0%, 412 , 677 ,31.4%,29.4%,,,,,,
"Clark County, NV",,,,," 2,266,715 ",1.0%, 494 , 355 ,16.0%,14.9%,,,,,,
"Clark County, OH",,,,," 134,083 ",0.1%, 557 , 551 ,11.9%,17.8%,,,,,,
"Clark County, SD",,,,," 3,736 ",0.0%, 696 , 642 ,11.4%,4.5%,,,,,,
"Clark County, WA",,,,," 488,241 ",0.1%, 241 , 232 ,10.2%,10.2%,,,,,,
"Clark County, WI",,,,," 34,774 ",0.0%, 670 ," 1,084 ",17.5%,20.5%,,,,,,
"Clarke County, IA",,,,," 9,395 ",0.0%, 277 , 330 ,10.7%,17.9%,,,,,,
"Clarke County, VA",,,,," 14,619 ",0.0%, 130 , 150 ,6.6%,14.1%,,,,,,
"Clatsop County, OR",,,,," 40,224 ",0.0%, 82 , 45 ,15.5%,8.8%,,,,,,
"Clay County, AR",,,,," 14,551 ",0.0%, 673 , 948 ,14.1%,19.5%,,,,,,
"Clay County, GA",,,,," 2,834 ",0.0%, -   , 35 ,16.7%,0.0%,,,,,,
"Clay County, IA",,,,," 16,016 ",0.0%, 893 , 905 ,30.2%,30.2%,,,,,,
"Clay County, IL",,,,," 13,184 ",0.0%, 918 ," 1,191 ",18.2%,18.2%,,,,,,
"Clay County, IN",,,,," 26,225 ",0.0%, 900 , 713 ,13.8%,24.3%,,,,,,
"Clay County, KS",,,,," 8,002 ",0.0%, 712 ," 1,375 ",18.6%,33.3%,,,,,,
"Clay County, KY",,,,," 19,901 ",0.0%, 276 , 352 ,23.9%,26.9%,,,,,,
"Clay County, MN",,,,," 64,222 ",0.1%, 920 , 933 ,13.9%,16.0%,,,,,,
"Clay County, MO",,,,," 249,948 ",0.0%, 136 , 241 ,14.8%,19.2%,,,,,,
"Clay County, MS",,,,," 19,316 ",0.0%, 300 , 217 ,17.9%,10.6%,,,,,,
"Clay County, NE",,,,," 6,203 ",0.0%, 661 ," 1,080 ",34.0%,47.4%,,,,,,
"Clay County, SD",,,,," 14,070 ",0.0%, 959 ," 1,073 ",8.9%,28.2%,,,,,,
"Clay County, TN",,,,," 7,615 ",0.0%, 433 , 565 ,12.0%,15.2%,,,,,,
"Clay County, TX",,,,," 10,471 ",0.0%, 583 , 468 ,21.5%,42.0%,,,,,,
"Clayton County, IA",,,,," 17,549 ",0.0%, 678 , 900 ,23.9%,21.4%,,,,,,
"Clearfield County, PA",,,,," 79,255 ",0.0%, 558 , 385 ,13.5%,11.9%,,,,,,
"Clearwater County, ID",,,,," 8,756 ",0.0%," 1,930 "," 1,359 ",21.7%,37.6%,,,,,,
"Clearwater County, MN",,,,," 8,818 ",0.0%," 1,111 "," 1,633 ",25.6%,29.2%,,,,,,
"Cleburne County, AL",,,,," 14,910 ",0.0%, 148 , 141 ,28.2%,21.0%,,,,,,
"Cleburne County, AR",,,,," 24,919 ",0.0%, 309 , 185 ,10.8%,13.4%,,,,,,
